_step,_runtime,_timestamp,rewards/train/solve_ratio,rewards/train/advantage/mean,perf/train/global_step_time,actor/train/advantage/abs_mean,actor/train/advantage/max,actor/train/advantage/min,actor/train/advantage/nonzero_frac,actor/train/entropy,actor/train/grad_norm,actor/train/is_ratio/max,actor/train/is_ratio/mean,actor/train/is_ratio/min,actor/train/kl,actor/train/kl_loss,actor/train/log_ratio/abs_mean,actor/train/loss,actor/train/perplexity,actor/train/pg_clipfrac,actor/train/pg_loss/clipped_mean,actor/train/pg_loss/unclipped_mean,actor/train/ppo_kl,actor/train/reduced_pg_loss,actor/train/sampler_is/weight_mean,actor/train/sampler_is/weight_min,actor/train/unreduced_pg_loss,actor/train/zero_tim/alignment_warning,actor/train/zero_tim/alignment_warning_count,actor/train/zero_tim/clip_hits,actor/train/zero_tim/first_order_kl,actor/train/zero_tim/gradient_nonzero,actor/train/zero_tim/hard_gate_pass,actor/train/zero_tim/n_action,actor/train/zero_tim/r_exact,actor/train/zero_tim/r_max,actor/train/zero_tim/r_min,actor/train/zero_tim/s_decode_vs_s_prefill_byte_fraction,actor/train/zero_tim/s_decode_vs_s_prefill_bytes,actor/train/zero_tim/s_decode_vs_s_prefill_element_fraction,actor/train/zero_tim/s_decode_vs_s_prefill_elements,actor/train/zero_tim/s_decode_vs_s_prefill_max_abs,actor/train/zero_tim/s_prefill_vs_t_old_byte_fraction,actor/train/zero_tim/s_prefill_vs_t_old_bytes,actor/train/zero_tim/s_prefill_vs_t_old_element_fraction,actor/train/zero_tim/s_prefill_vs_t_old_elements,actor/train/zero_tim/s_prefill_vs_t_old_max_abs,actor/train/zero_tim/second_order_kl,actor/train/zero_tim/t_old_vs_t_current_byte_fraction,actor/train/zero_tim/t_old_vs_t_current_bytes,actor/train/zero_tim/t_old_vs_t_current_element_fraction,actor/train/zero_tim/t_old_vs_t_current_elements,actor/train/zero_tim/t_old_vs_t_current_max_abs,actor/train/zero_tim/tis_hits,actor/train/zero_tim/w_exact,actor/train/zero_tim/w_max,actor/train/zero_tim/w_min,actor/train/zero_tim/wr_exact,actor/train/zero_tim/wr_max,actor/train/zero_tim/wr_min,frozenlake_eval/eval/n,frozenlake_eval/eval/policy_step,frozenlake_eval/eval/reward,frozenlake_eval/eval/solve,frozenlake_eval/eval/wall_seconds,generation/eval/completions/clip_ratio,generation/eval/completions/max_length,generation/eval/completions/max_raw_length,generation/eval/completions/mean_length,generation/eval/completions/mean_raw_length,generation/eval/completions/min_length,generation/eval/completions/min_raw_length,generation/eval/prompts/max_length,generation/eval/prompts/mean_length,generation/eval/prompts/min_length,generation/train/completions/clip_ratio,generation/train/completions/max_length,generation/train/completions/max_raw_length,generation/train/completions/mean_length,generation/train/completions/mean_raw_length,generation/train/completions/min_length,generation/train/completions/min_raw_length,generation/train/prompts/max_length,generation/train/prompts/mean_length,generation/train/prompts/min_length,perf/train/rescore_b_seconds,perf/train/weight_sync_seconds,rewards/eval/advantage/max,rewards/eval/advantage/mean,rewards/eval/advantage/min,rewards/eval/advantage/std,rewards/eval/solve_all,rewards/eval/solve_none,rewards/eval/solve_partial,rewards/eval/solve_ratio,rewards/train/advantage/max,rewards/train/advantage/min,rewards/train/advantage/std,rewards/train/solve_all,rewards/train/solve_none,rewards/train/solve_partial,sampler_trainer/eval/logp_diff_max,sampler_trainer/eval/logp_diff_mean,sampler_trainer/eval/prob_diff_max,sampler_trainer/eval/prob_diff_mean,sampler_trainer/eval/probs_pearson_corr,sampler_trainer/train/logp_diff_max,sampler_trainer/train/logp_diff_mean,sampler_trainer/train/prob_diff_max,sampler_trainer/train/prob_diff_mean,sampler_trainer/train/probs_pearson_corr,trajectory/eval/env_time/close_latency/max,trajectory/eval/env_time/close_latency/mean,trajectory/eval/env_time/close_latency/min,trajectory/eval/env_time/reset_latency/max,trajectory/eval/env_time/reset_latency/mean,trajectory/eval/env_time/reset_latency/min,trajectory/eval/env_time/step_latency/max,trajectory/eval/env_time/step_latency/mean,trajectory/eval/env_time/step_latency/min,trajectory/eval/reward_time/reward_latency/max,trajectory/eval/reward_time/reward_latency/mean,trajectory/eval/reward_time/reward_latency/min,trajectory/train/env_time/close_latency/max,trajectory/train/env_time/close_latency/mean,trajectory/train/env_time/close_latency/min,trajectory/train/env_time/reset_latency/max,trajectory/train/env_time/reset_latency/mean,trajectory/train/env_time/reset_latency/min,trajectory/train/env_time/step_latency/max,trajectory/train/env_time/step_latency/mean,trajectory/train/env_time/step_latency/min,trajectory/train/reward_time/reward_latency/max,trajectory/train/reward_time/reward_latency/mean,trajectory/train/reward_time/reward_latency/min,trajectory_rewards/eval/max,trajectory_rewards/eval/mean,trajectory_rewards/eval/min,trajectory_rewards/eval/sum,trajectory_rewards/train/max,trajectory_rewards/train/mean,trajectory_rewards/train/min,trajectory_rewards/train/sum
0,1110.523667052,1788893750.2218356,0.5859375,0,738.6638700962067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,0,0.39375001192092896,0.39375,299.7717890329659,0,811,1320,192.8662567138672,422.57,29,29,4096,4096,4096,0,621,1201,179.66015625,356.2578125,42,42,4096,4096,4096,1.896972376445774,,1,8.743006318923108e-18,-1,0.26522011087394604,0.14,0.29,0.57,0.39375,1,-1,0.34069257193462343,0,0,1,2.4277679920196533,0.015494637340307236,0.6710753440856934,0.006874842587858438,0.990542261004448,1.6310553550720215,0.014904297888278961,0.3980746269226074,0.0067181964404881,0.9921115636825562,19.936814048036467,1.8608250809317541,0.0001756100100465119,13.691296260047238,1.524148118858866,0.00055748998420313,3.108658499957528,0.5475586447637761,0.0005149799981154501,0,0,0,0.007466538983862847,0.001658113025541752,0.0001934500178322196,0.2701224740012549,0.04991302127473318,0.005128739983774722,0.20387110608862713,0.0059758574545867305,0.0005537800025194883,0,0,0,1,0.39375,0,3.15,1,0.5859375,0,150
1,1196.257821197,1788893861.0885575,0.4375,8.673617379884035e-18,100.4249382019043,0.2270015925168991,1,-1,0.5,0.14517605304718018,0.036425087600946426,1.017247200012207,0.7979660630226135,0.32189154624938965,0,0,0.246011883020401,0.02264327183365822,1.0229015350341797,0.22002974152565002,0.036859314888715744,0.029156461358070374,0.2545135021209717,0.02264327183365822,1,1,0.02264326997101307,1,7.125,121.15625,0.2562047000278137,0.03125,0,1437.28125,0,18.667231595347857,0.05816859523398737,0.3362999541091588,1889.40625,0.4885831981518928,688.65625,0.7225074376910925,0.4541667932160044,2560.71875,0.5828720939647188,820.625,0.7910267640836537,1.5232412792528387,0.2920246111300837,1704.90625,0.5047959016833661,725.15625,23.87731170654297,0.15625,0,1.7588506747652295,0.5144253979706043,0,16.52493466888763,0.04832416094901862,,,,,,,,,,,,,,,,0,708,1380,174.5703125,364.26171875,41,41,4096,4096,4096,8.159683085978031,8.136451245984063,,,,,,,,,1,-1,0.3273268353539886,0,0,1,,,,,,2.304654598236084,0.014405710622668266,0.6012566089630127,0.006368814967572689,0.992064356803894,,,,,,,,,,,,,0.005671680031809956,0.001598402940771848,0.0001869499683380127,0.13780963700264692,0.04746988803253771,0.0022169300355017185,0.02560435002669692,0.005464648654196935,0.0006441489676944911,0,0,0,,,,,1,0.4375,0,112
2,1284.68631622,1788893946.7018337,0.3515625,8.673617379884035e-18,74.92010641098022,0.1951998919248581,1,-1,0.4375,0.14732626080513,0.03784511983394623,1.0227470397949219,0.7994443774223328,0.4268150329589844,0,0,0.24541231989860535,0.022029612213373184,1.022274136543274,0.1994970440864563,0.00891227275133133,0.007810091599822044,0.25892940163612366,0.022029612213373184,1,1,0.022029613610357046,1,7.28125,110.625,0.26083976838640704,0.03125,0,1396.5625,0,9.748390397454546,0.0848153815285149,0.340832910492334,1802.75,0.4938076694306798,655,0.7131515414512251,0.4567835259109957,2439.625,0.5839741876182223,778.375,0.8433215217664838,1.7125486645964254,0.2881618645396864,1617.84375,0.5058814779159304,694.5,25.282587110996246,0.28125,0,1.799995838181027,0.5331777648621088,0,8.55245372408838,0.07956588988442519,,,,,,,,,,,,,,,,0,608,1293,199.50390625,416.109375,51,51,4096,4096,4096,8.279755741998088,7.585259287036024,,,,,,,,,1,-1,0.3589241293257461,0,0,1,,,,,,3.1956069469451904,0.01674697734415531,0.48973584175109863,0.0072820158675313,0.9934300184249878,,,,,,,,,,,,,0.0068401790340431035,0.001654049010539893,0.00019789999350905418,0.4575518690398894,0.056463895858541946,0.005739999993238598,0.047002708015497774,0.005670364753086687,0.0004181999829597771,0,0,0,,,,,1,0.3515625,0,90
3,1379.381273481,1788894035.0554187,0.4375,1.0408340855860843e-17,77.71758913993835,0.24248842895030975,1,-1,0.59375,0.1838635504245758,0.037492867559194565,1.0210657119750977,0.8092751502990723,0.35790324211120605,0,0,0.2257605493068695,0.026165878400206566,1.026511311531067,0.2833089232444763,0.011394042521715164,0.009806618094444275,0.22944730520248413,0.026165878400206566,1,1,0.02616587746888399,1,7.09375,144.59375,0.2318456602012301,0.03125,0,1596.03125,0,12.580195192564412,0.021945666156980525,0.3701214023537826,2318.96875,0.5378836305481097,845.0625,0.6319291619583964,0.48314744928702424,3043.65625,0.6262720428439694,985.875,0.8009918015450239,1.221518847177186,0.327989952986592,2124.625,0.5560475394564071,891.90625,22.299132108688354,0.125,0,1.7428822413262086,0.48164459928745035,0,11.940335022330892,0.02055621348086598,,,,,,,,,,,,,,,,0,729,1261,179.1015625,389.3125,43,43,4096,4096,4096,8.08430169703206,7.791824511950836,,,,,,,,,1,-1,0.3388154635894692,0,0,1,,,,,,2.142857551574707,0.015299755148589611,0.789998471736908,0.006690242327749729,0.9929299354553223,,,,,,,,,,,,,0.0076314599718898535,0.0016224748869717587,0.0001976899802684784,0.46927326900186017,0.04803544555807093,0.0026843000086955726,0.0171389399911277,0.005612684097968668,0.0005594110116362572,0,0,0,,,,,1,0.4375,0,112
4,1470.388469475,1788894129.540221,0.5859375,9.540979117872439e-18,84.14525032043457,0.20679329335689545,1,-1,0.53125,0.16484178602695465,0.030629049986600876,1.0205097198486328,0.825950026512146,0.3442368507385254,0,0,0.2117481380701065,0.020558398216962814,1.0207712650299072,0.23794475197792053,0.007960442453622818,0.005367637611925602,0.21412956714630127,0.020558398216962814,1,1,0.020558396819978952,1,7.28125,115.5625,0.21628660395311294,0.03125,0,1432.8125,0,7.391342997063291,0.11756163079782986,0.3535760815694424,1963.40625,0.5118639716075999,713.1875,0.7303347422275692,0.4679459978278047,2613.1875,0.6050415415989918,842.6875,0.8155786357820034,1.1683446190215319,0.29933220883433376,1769.96875,0.5256978434441535,757.6875,19.162751495838165,0.3125,0,2.025446814535256,0.5047988792546255,0,7.153330556975524,0.12875991349724134,,,,,,,,,,,,,,,,0,1034,1470,208.140625,409.76953125,27,27,4096,4096,4096,8.178826413990464,7.678740295988973,,,,,,,,,1,-1,0.40089186286863654,0,0,1,,,,,,2.0455799102783203,0.016663363203406334,0.6630785465240479,0.007017252501100302,0.9949110746383667,,,,,,,,,,,,,0.007351920008659363,0.0018001329365233687,0.0002102599828504026,0.449482630006969,0.03890691546598646,0.004346589965280145,0.04019458999391645,0.005973804479936007,0.0006550099933519959,0,0,0,,,,,1,0.5859375,0,150
5,1558.841229817,1788894221.8365386,0.515625,5.204170427930421e-18,80.6142852306366,0.31733831763267517,1,-1,0.6875,0.21790596842765808,0.02897149883210659,1.0172748565673828,0.846717119216919,0.5311684608459473,0,0,0.17684128880500793,0.024869363754987717,1.0251811742782593,0.336397647857666,0.02963905967772007,0.024292711168527603,0.1772441267967224,0.024869363754987717,1,1,0.02486936515197158,1,7.15625,149.59375,0.17932529796001317,0.03125,0,1665.125,0,22.95806485763441,0.06749862117976387,0.3872340526164182,2520.78125,0.562557966755215,916,0.6897909296676517,0.4956442926349676,3234.0625,0.647723729556313,1053.84375,0.7679258324205875,0.7817880046569309,0.34390250828396013,2338.15625,0.586737132472872,979.4375,18.72700470685959,0.21875,0,1.9304078828082898,0.519757151256059,0,20.362753667943416,0.07157772302962484,,,,,,,,,,,,,,,,0,739,1399,208.734375,415.53125,40,40,4096,4096,4096,8.264714981953148,7.565045878000092,,,,,,,,,1,-1,0.4134227465282223,0,0,1,,,,,,1.542264699935913,0.01701708883047104,0.5277391672134399,0.007254960015416145,0.9951606392860413,,,,,,,,,,,,,0.009314459981396794,0.0016624737663732958,0.0002047800226137042,0.48179620900191367,0.04994555995108385,0.0066898889490403235,0.021201590017881244,0.006232675596720583,0.0007010999834164977,0,0,0,,,,,1,0.515625,0,132
6,1653.163348096,1788894309.089152,0.47265625,9.540979117872439e-18,76.74714040756226,0.3074405789375305,1,-1,0.6875,0.2414441853761673,0.028105169534683228,1.021017074584961,0.8425158858299255,0.4665534496307373,0,0,0.18234574794769287,0.02484746277332306,1.0251586437225342,0.3105044662952423,0.006900390610098839,0.003740232903510332,0.18233072757720947,0.02484746277332306,1,1,0.02484746288973838,1,7.1875,150.21875,0.18362967865589547,0.03125,0,1669.875,0,14.15024997729385,0.034136035268390236,0.4043583549629063,2636.59375,0.5889007479945809,961.03125,0.5608896999619901,0.5104816782623248,3357.59375,0.6695597686514198,1098.0625,0.7228365410119295,0.7635586702156134,0.3677410918533609,2463.34375,0.6223766779461866,1032.59375,17.735843658447266,0.1875,0,1.7266392285714378,0.5457692766708875,0,12.689374763778236,0.03441093414028849,,,,,,,,,,,,,,,,0,713,1552,219.8125,427.421875,37,37,4096,4096,4096,8.407707837992348,8.79706360999262,,,,,,,,,1,-1,0.38382473678936924,0,0,1,,,,,,1.6913111209869385,0.01654074527323246,0.6133555173873901,0.007116539403796196,0.9956321716308594,,,,,,,,,,,,,0.007354599016252905,0.0016839057745983155,0.00023887999122962356,0.4722503789816983,0.057883138031911585,0.0057430199813097715,0.020942568953614682,0.0057947548079937405,0.0006199699710123241,0,0,0,,,,,1,0.47265625,0,121
7,1750.76206963,1788894403.7854998,0.453125,1.5612511283791264e-17,83.83559703826904,0.26495903730392456,1,-1,0.5625,0.2473350614309311,0.024329757317900658,1.0354681015014648,0.8607146739959717,0.567162036895752,0,0,0.15918877720832825,0.02081512287259102,1.0210332870483398,0.25160467624664307,-0.004176437854766846,-0.002780071459710598,0.15860354900360107,0.02081512287259102,1,1,0.020815121359191835,1,7.125,166.53125,0.16051877574236065,0.03125,0,1758.5,0,18.677261107977895,0.10584565772337781,0.4206512963324798,2889.6875,0.611248202263287,1052.1875,0.7055291337892413,0.5234162828617678,3623.78125,0.6891057361118864,1187.5,0.7700659481342882,0.6343241962624773,0.3718556786036117,2673.40625,0.6339021274237945,1116.96875,16.25225919485092,0.125,0,1.701583941887349,0.4920521903105626,0,15.738704001397714,0.09565256551226457,,,,,,,,,,,,,,,,0,943,1483,220.36328125,444.57421875,46,46,4096,4096,4096,8.554022596043069,7.71167917503044,,,,,,,,,1,-1,0.4344830378784442,0,0,1,,,,,,1.3654907941818237,0.01737726479768753,0.36815714836120605,0.007269960828125477,0.9961279630661011,,,,,,,,,,,,,0.008242929994594306,0.0015803557446361083,0.00018569000530987978,0.5106184579781257,0.06057068462678217,0.0073023909935727715,0.040587258990854025,0.005866861511321986,0.0005755399470217526,0,0,0,,,,,1,0.453125,0,116
8,1856.495424459,1788894501.3465848,0.4296875,1.734723475976807e-18,86.70063829421997,0.34983882308006287,1,-1,0.71875,0.26761123538017273,0.028608916327357292,1.0199394226074219,0.8764514923095703,0.5733599662780762,0,0,0.13939647376537323,0.026027347892522812,1.0263689756393433,0.3759831488132477,0.052456628531217575,0.04665273055434227,0.13912996649742126,0.026027347892522812,1,1,0.02602734958054498,1,7.15625,163.3125,0.1404748891730933,0.03125,0,1762.90625,0,25.46917170280228,0.09520620444798666,0.43149363941973157,2996.21875,0.626912858371204,1090.53125,0.535292558488436,0.5365130493987139,3749.96875,0.7038612130760377,1225.8125,0.6463571712374687,0.5086360530735926,0.3766634582316739,2726.0625,0.6413868016625446,1139,15.843647718429565,0.15625,0,1.710606989750107,0.5582000941735197,0,24.2221710164441,0.10473092644391725,,,,,,,,,,,,,,,,0,1030,1466,249.6015625,447.1953125,44,44,4096,4096,4096,8.67795171297621,7.9452589499996975,,,,,,,,,1,-0.8571428571428571,0.35892412932574613,0,0,1,,,,,,2.3661046028137207,0.018942557275295258,0.37301889061927795,0.007418882567435503,0.9975245594978333,,,,,,,,,,,,,0.012369709031190723,0.0014730713769495196,0.0002045599976554513,0.4920463089947589,0.05136925476290344,0.007058769988361746,0.015454142005182803,0.005006521947279907,0.0005547599866986275,0,0,0,,,,,1,0.4296875,0,110
9,1955.006083258,1788894606.9348972,0.40625,1.3010426069826053e-17,94.87143063545227,0.24357753992080688,1,-0.8571428656578064,0.53125,0.33981555700302124,0.012722240760922432,1.024336814880371,0.9090162515640259,0.631805419921875,0,0,0.09978975355625153,0.011596648022532463,1.0116641521453857,0.2779368758201599,-0.01350186113268137,-0.010380687192082405,0.09848563373088837,0.011596648022532463,1,1,0.011596648953855038,1,7.0625,183.71875,0.10027236379517217,0.03125,0,1996.8125,0,13.316695656441997,0.10935181920381917,0.4878827026273398,3816.84375,0.7109403731236439,1392.6875,0.5471788858994842,0.5881678736871602,4632.9375,0.7759758572096646,1522.5625,0.6355510875582695,0.27549523952748983,0.41870233123090794,3366.71875,0.7104671744991038,1410.75,12.599447429180145,0.0625,0,1.5983999844346455,0.5525113308265015,0,12.556127982170121,0.09309093720567636,,,,,,,,,,,,,,,,0,1302,1815,275.51953125,478.5078125,60,60,4096,4096,4096,8.671431633003522,7.894741031050216,,,,,,,,,1,-0.8571428571428571,0.40089186286863654,0,0,1,,,,,,0.7325626611709595,0.02026406303048134,0.4447493553161621,0.007860559038817883,0.9977626800537109,,,,,,,,,,,,,0.007860609970521182,0.0015817205528492195,0.00018769002053886652,0.498759098991286,0.05653030149278493,0.0021767899743281305,0.018216539989225566,0.00560954501111155,0.0006090999813750386,0,0,0,,,,,1,0.40625,0,104
